ticket,open_time,type,size,symbol,open_price,sl,tp,close_time,close_price,commission,taxes,swap,profit,comment
110678877,2026.02.05 17:15:00,sell,0.60,audusd,0.69571,0.00000,0.00000,2026.02.05 17:35:00,0.69428,0.00,0.00,0.00,85.80,#600 230417_RandomWalk_YHH_unlimited
110497877,2026.02.05 05:00:03,buy,0.60,usdchf,0.77795,0.00000,0.00000,2026.02.05 17:55:00,0.77685,0.00,0.00,0.00,-84.96,#100 230417_RandomWalk_YHH_unlimited
110649643,2026.02.05 16:00:00,buy,0.60,usdchf,0.77483,0.00000,0.00000,2026.02.05 17:55:00,0.77685,0.00,0.00,0.00,156.01,#100 230417_RandomWalk_YHH_unlimited
110685252,2026.02.05 17:30:00,sell,0.60,gbpusd,1.35342,0.00000,0.00000,2026.02.05 17:55:00,1.35239,0.00,0.00,0.00,61.80,#200 230417_RandomWalk_YHH_unlimited
110588801,2026.02.05 11:10:01,buy,0.60,usdcad,1.36952,0.00000,0.00000,2026.02.05 18:05:00,1.36923,0.00,0.00,0.00,-12.71,#500 230417_RandomWalk_YHH_unlimited
110649644,2026.02.05 16:00:00,buy,0.60,usdcad,1.36691,0.00000,0.00000,2026.02.05 18:05:00,1.36922,0.00,0.00,0.00,101.23,#500 230417_RandomWalk_YHH_unlimited
110697425,2026.02.05 17:55:01,buy,0.60,usdchf,0.77692,0.00000,0.00000,2026.02.05 18:30:00,0.77785,0.00,0.00,0.00,71.74,#100 230417_RandomWalk_YHH_unlimited
110649657,2026.02.05 16:00:00,buy,0.60,usdjpy,156.609,0.000,0.000,2026.02.05 22:45:00,157.024,0.00,0.00,0.00,158.57,#400 230417_RandomWalk_YHH_unlimited
110687768,2026.02.05 17:35:00,sell,0.60,audusd,0.69411,0.00000,0.00000,2026.02.05 22:45:00,0.69497,0.00,0.00,0.00,-51.60,#600 230417_RandomWalk_YHH_unlimited
110726203,2026.02.05 19:00:00,sell,0.60,audusd,0.69726,0.00000,0.00000,2026.02.05 22:45:00,0.69495,0.00,0.00,0.00,138.60,#600 230417_RandomWalk_YHH_unlimited
110593880,2026.02.05 11:30:00,buy,0.60,usdjpy,157.262,0.000,0.000,2026.02.05 22:45:01,157.024,0.00,0.00,0.00,-90.94,#400 230417_RandomWalk_YHH_unlimited
110633844,2026.02.05 15:00:00,buy,0.60,usdjpy,156.954,0.000,0.000,2026.02.05 22:45:01,157.023,0.00,0.00,0.00,26.37,#400 230417_RandomWalk_YHH_unlimited
110783159,2026.02.05 22:45:01,sell,0.60,audusd,0.69482,0.00000,0.00000,2026.02.05 23:10:00,0.69380,0.00,0.00,0.00,61.20,#600 230417_RandomWalk_YHH_unlimited
110726207,2026.02.05 19:00:00,sell,0.60,gbpusd,1.35489,0.00000,0.00000,2026.02.05 23:35:49,1.35299,0.00,0.00,0.00,114.00,#200 230417_RandomWalk_YHH_unlimited
110697422,2026.02.05 17:55:00,sell,0.60,gbpusd,1.35230,0.00000,0.00000,2026.02.05 23:35:50,1.35299,0.00,0.00,0.00,-41.40,#200 230417_RandomWalk_YHH_unlimited
110496442,2026.02.05 04:55:06,sell,0.60,eurusd,1.17866,0.00000,0.00000,2026.02.05 23:40:00,1.17762,0.00,0.00,0.00,62.40,#300 230417_RandomWalk_YHH_unlimited
110702366,2026.02.05 18:05:01,buy,0.60,usdcad,1.36939,0.00000,0.00000,2026.02.05 23:50:04,1.37082,0.00,0.00,0.00,62.59,#500 230417_RandomWalk_YHH_unlimited
